Sujetos;Grupo;University;G̩nero;Edad;EdadAgrupada;Semestre;Program;Espe1;Espe2;Espe3;Espe4;Espe5;Specialization;Credib1;Credib2;Credib3;Credib4;Credib5;Credibility;Coord1;Coord2;Coord3;Coord4;Coord5;Coordination;CompDig1Instr;CompDig2Instr;CompDig3Instr;CompDig4Instr;CompDig5Instr;CompDig16Instr;CompDig6EstratPrivil;CompDig7EstratPrivil;CompDig8EstratPrivil;CompDig9EstratPrivil;CompDig14EstratPrivil;CompDig21EstratPrivil;CompDig22EstratPrivil;CompDig10Estrat3propiac;CompDig11EstratApropiac;CompDig12Estr3t3propi3c;CompDig13EstratApropiac;CompDig15Exp3nsiv;CompDig17Expansiv;CompDig18Expansiv;CompDig19Expansiv;CompDig20Exp3nsiv;ExperColabPrev1;CantExperColabPrev;TotInstrumental;TotEPrivilegiar;TotEApropiacion;TotExpansivo
56;G 18;2;2;23;0;7;3;4;3;5;4;3;19;5;4;5;5;1;20;5;4;2;5;3;19;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;1;4;26;35;20;19
57;G 19;1;2;34;0;6;2;3;3;2;3;2;13;3;3;3;3;3;15;2;3;3;2;4;14;4;4;4;4;4;4;4;5;5;5;5;5;5;4;4;4;4;5;3;1;4;5;1;4;24;34;16;18
58;G 19;1;2;26;0;6;2;3;4;3;4;2;16;5;5;5;5;1;21;4;5;1;3;5;18;3;2;2;4;1;2;3;3;3;3;3;1;3;3;2;3;3;2;2;1;1;1;1;3;14;19;11;7
59;G 19;1;1;33;0;6;1;4;5;4;4;3;20;5;5;4;4;2;20;3;4;2;2;4;15;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;3;3;3;4;1;4;23;27;16;17
60;G 20;1;2;29;0;6;1;2;5;2;2;2;13;3;1;1;5;4;14;2;3;3;3;5;16;3;2;1;3;2;1;4;2;5;3;3;1;1;4;1;5;1;5;1;1;1;2;1;4;12;19;11;10
61;G 20;1;2;36;0;6;1;4;4;5;5;4;22;5;5;5;5;4;24;4;5;4;4;4;21;3;4;2;3;3;2;4;4;4;5;3;3;4;3;1;2;4;4;1;1;3;4;1;4;17;27;10;13
62;G 20;2;2;21;0;7;3;3;5;5;5;4;22;5;4;3;4;3;19;3;3;3;4;4;17;3;3;3;2;1;2;4;2;2;3;3;2;3;3;2;4;3;4;2;1;1;3;1;4;14;19;12;11
63;G 21;1;1;42;0;6;2;5;5;4;4;5;23;5;5;5;5;5;25;5;5;5;5;5;25;3;5;1;1;4;4;5;4;4;3;5;5;4;5;2;3;2;5;3;1;4;5;1;2;18;30;12;18
64;G 21;1;2;31;0;6;1;3;4;3;4;4;18;4;5;5;1;1;16;3;5;1;4;4;17;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;5;1;1;27;35;20;10
65;G 21;1;2;28;0;6;1;5;3;1;5;4;18;5;5;5;4;1;20;5;5;2;5;2;19;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;5;1;4;26;35;20;19
