,...1,Participants,Grupo,University,Genre,Edad,Semester,Program,Specialization,Credibility,Coordination,Visual,Aural,Reader/Writer,Kinesthetic,Instrumental,Stra_Privilege,Stra_Appropriation,Expansive,Trend,VARK_Cs_Trend,Dc_Trend,Col_Trend
13,13,13,G4,U2C,2,24,8,B.D.Medicine,0.133333333333334,-0.595854922279793,0.575916230366492,-0.571969696969697,2.50212765957447,1.6404958677686,0.485714285714285,-0.518518518518519,-0.0771604938271605,-0.103896103896104,-0.387755102040816,Aural,K/A,Stra_Privilege,Coordination
14,14,14,G5,U1E,2,21,6,B.D.Early-Childhood-Pedagogy,1.46666666666667,0.699481865284974,0.0523560209424082,-0.571969696969697,-0.476595744680851,-1.25206611570248,0.00952380952380932,-1.44444444444444,-0.848765432098765,-0.623376623376623,-1.20408163265306,Kinesthetic,K/RW,Stra_Appropriation,Specialization
15,15,15,G5,U2C,1,23,8,B.D.Medicine,-0.311111111111111,-1.37305699481865,-0.994764397905759,-0.571969696969697,-0.0510638297872341,-0.0123966942148761,-1.41904761904762,-0.703703703703704,-1.15740740740741,-0.623376623376623,-1.61224489795918,Reader/Writer,K/RW,Stra_Appropriation,Specialization
16,16,16,G5,U1E,2,24,6,B.D.Early-Childhood-Pedagogy,0.355555555555556,-0.33678756476684,0.0523560209424082,-0.571969696969697,-0.476595744680851,-0.425619834710744,-0.466666666666667,-0.148148148148148,0.540123456790123,0.935064935064935,1.85714285714286,Reader/Writer,K/RW,Expansive,Specialization
17,17,17,G6,U2C,1,22,7,B.D.Medicine,0.8,1.73575129533679,2.14659685863874,2.83712121212121,1.22553191489362,2.05371900826446,1.91428571428571,0.962962962962963,0.0771604938271605,0.675324675324675,0.428571428571428,Visual,V/RW,Instrumental,Coordination
18,18,18,G6,U1E,2,27,6,B.D.Early-Childhood-Pedagogy,1.46666666666667,1.73575129533679,2.14659685863874,-0.193181818181818,-1.32765957446809,0.814049586776859,-0.466666666666667,0.0370370370370369,0.0771604938271605,1.19480519480519,-0.387755102040816,Reader/Writer,V/RW,Stra_Appropriation,Coordination
19,19,19,G6,U1E,1,23,6,B.D.Early-Childhood-Pedagogy,0.355555555555556,0.440414507772021,0.837696335078534,0.185606060606061,1.22553191489362,2.05371900826446,0.961904761904762,-1.07407407407407,-1.15740740740741,-0.623376623376623,-1,Reader/Writer,V/RW,Stra_Appropriation,Coordination
20,20,20,G7,U1E,1,30,6,B.D.Early-Childhood-Pedagogy,-0.755555555555555,-1.1139896373057,-0.209424083769634,-0.950757575757576,-0.902127659574468,0.400826446280992,-0.466666666666667,-0.148148148148148,0.0771604938271605,-0.883116883116883,-0.387755102040816,Reader/Writer,RW/K/V,Stra_Privilege,Coordination
21,21,21,G7,U2C,1,22,7,B.D.Architecture,0.355555555555556,-0.0777202072538862,0.31413612565445,-1.70833333333333,-0.902127659574468,-0.0123966942148761,0.485714285714285,-0.703703703703704,-1.15740740740741,-0.363636363636364,-0.795918367346939,Kinesthetic,RW/K/V,Stra_Appropriation,Specialization
22,22,22,G7,U2C,2,18,7,B.D.Architecture,-0.755555555555555,0.181347150259067,-0.994764397905759,-0.193181818181818,-0.902127659574468,-0.425619834710744,-0.942857142857143,-1.25925925925926,-0.540123456790123,-1.14285714285714,-0.387755102040816,Visual,RW/K/V,Expansive,Credibility
